Area,Date,Type,Issued By,No,Value,Description,# Issued,Atlas,Alberta,Theme A,Theme B,Theme C,Theme D
BOP,19850125.03,FDC,SLK,85.01,$$$,SILK Health         ,,,,Health/Medicine,Child,,
BOP,19850204.01,CMC,SPO,,$,Australopitbecus         ,,,,Dinosaurs/Fossils/Archaeology,,,
BOP,19850311.01,FDC,SPO,1.032.1,$,Mafeking         ,60000,,,Towns/Cities History,,,
BOP,19850311.02,FDC,GLD,85.07,$$$$,GOLD Mafeking         ,150,,,Towns/Cities History,,,
BOP,19850311.03,FDC,SLK,85.01,$$$,SILK Mafeking         ,,,,Towns/Cities History,,,
BOP,19850311.04,FDC,SPO,1.032.2,$,Scouts         ,60000,,,Boy Scouts/Girl Guides,,,
BOP,19850311.05,BAL,PRV,,$$$,100 Years first balloon flight SA ,,,,Balloon Flights,,,
BOP,19850401.01,FDC,SPO,1.032.3,$,Car industry        ,62000,,,Manufacturing/Industries,Cars,,
BOP,19850401.02,FDC,SLK,85.02,$$$,SILK Car industry        ,,,,Manufacturing/Industries,Cars,,
BOP,19850402.01,FDC,SPO,1.033,$,Easter         ,70000,,,Easter,Religion/Churches,,
BOP,19850402.02,FDC,GLD,85.10,$$$$,GOLD Easter         ,150,,,Easter,Religion/Churches,,
BOP,19850402.03,FDC,SLK,85.02,$$$,SILK Easter Easter        ,,,,Easter,Religion/Churches,,
BOP,19850704.01,FDC,SPO,1.034,$,Trees         ,60000,,,Forestry/Trees,,,
BOP,19850704.02,FDC,GLD,85.16,$$$$,GOLD Trees         ,150,,,Forestry/Trees,,,
BOP,19850704.03,FDC,SLK,85.04,$$$,SILK Trees         ,,,,Forestry/Trees,,,
BOP,19851025.01,FDC,SPO,2.001,$$,2nd Def issue Folder Local Industries    ,50000,,,Manufacturing/Industries,Definitive Series,,
BOP,19851025.02,FDC,GLD,85.24,$$$$,GOLD Industries         ,150,,,Manufacturing/Industries,,,
BOP,19860306.01,FDC,SPO,2.002,$,Easter         ,50000,,,Easter,Religion/Churches,,
BOP,19860306.02,FDC,SLK,86.01,$$$,SILK Easter         ,,,,Easter,Religion/Churches,,
BOP,19860306.03,FDC,GLD,86.05,$$$$,GOLD Easter         ,150,,,Easter,Religion/Churches,,
BOP,19860401.01,FDC,SPO,2.002.1,$,Industries         ,50000,,,Manufacturing/Industries,,,
BOP,19860401.02,FDC,SLK,86.02,$$$,SILK Industries         ,,,,Manufacturing/Industries,,,
BOP,19860515.01,FDC,SPO,2.003,$,Thaba Nchu        ,50000,,,Towns/Cities History,,,
BOP,19860515.03,FDC,FOU,01,$$,MS Thaba Nchu      ,,,,Towns/Cities History,,,
BOP,19860515.04,FDC,SLK,86.03,$$$,SILK Thaba Nchu        ,,,,Towns/Cities History,,,
BOP,19860515.05,FDC,SLK,86.04,$$$,SILK Thaba Nchu,,,,Towns/Cities History,,,
BOP,19860515.06,FDC,GLD,86.11S,$$$$,GOLD MS Thaba Nchu,150,,,Towns/Cities History,,,
BOP,19860515.07,FDC,GLD,86.11,$$$$,GOLD Thaba Nchu,150,,,Towns/Cities History,,,
BOP,19860806.01,FDC,SPO,2.004,$,Temisono Project        ,52000,,,Manufacturing/Industries,Agriculture/Farming,,
BOP,19860806.02,FDC,SLK,86.05,$$$,SILK Temisono Project        ,,,,Manufacturing/Industries,Agriculture/Farming,,
BOP,19860806.03,FDC,GLD,86.17,$$$$,GOLD Temisono Project        ,150,,,Manufacturing/Industries,Agriculture/Farming,,
BOP,19861006.03,FIL,PRV,,$,SAPDA JHB 100       ,,,,Stamp Exhibition,,,
BOP,19861008.01,FIL,SPO,,$,Johannesburg 100 MS TabaNchu      ,,,,Stamp Exhibition,Towns/Cities History,,
BOP,19861016.01,FDC,SPO,2.005,$,BOP Airways        ,50000,,,Flight and Aircraft,,,
BOP,19861016.02,FDC,SLK,86.06,$$$,SILK BOP Airways        ,,,,Flight and Aircraft,,,
BOP,19861016.03,FDC,GLD,86.22,$$$$,GOLD BOP Airways        ,150,,,Flight and Aircraft,,,
BOP,19870122.01,FDC,SPO,2.006,$,Sports         ,50000,,,Sport,Tennis,Atletics,Football/Soccer
BOP,19870122.02,FDC,GLD,87.03,$$$$,GOLD Sports         ,150,,,Sport,Tennis,Atletics,Football/Soccer
BOP,19870122.03,FDC,SLK,87.01,$$$,SILK Sports,,,,Sport,Tennis,Atletics,Football/Soccer
BOP,19870401.01,FDC,SPO,2.006.1,$,Brickworks         ,50000,,,Manufacturing/Industries,,,
BOP,19870401.02,FDC,SLK,87.02,$$$,SILK Brickworks         ,,,,Manufacturing/Industries,,,
BOP,19870423.01,FDC,SPO,2.007,$,Flowers         ,50000,,,Flora/Flowers,,,
BOP,19870423.02,FIL,SPO,,$$,MS Paarl 300 Flowers      ,,,,Flora/Flowers,,,
BOP,19870423.03,FDC,FOU,02,$$,MS Flowers       ,,,,Flora/Flowers,,,
BOP,19870423.04,FDC,SLK,87.02,$$$,SILK Flowers         ,,,,Flora/Flowers,,,
BOP,19870423.05,FDC,SLK,87.03,$$$,SILK MS Flowers,,,,Flora/Flowers,,,
BOP,19870423.06,FDC,GLD,87.13,$$$$,GOLD MS Flowers,150,,,Flora/Flowers,,,
BOP,19870423.07,FDC,GLD,87.12,$$$$,GOLD Flowers,150,,,Flora/Flowers,,,
BOP,19870806.01,FDC,SPO,2.008,$,Education         ,50000,,,Education,,,
BOP,19870806.02,FDC,SLK,87.04,$$$,SILK Education         ,,,,Education,,,
BOP,19871204.01,FDC,SPO,2.009,$,Communication         ,45000,,,Communication,,,
BOP,19871204.02,FDC,SLK,87.05,$$$,SILK Communication         ,,,,Communication,,,
BOP,19880331.01,FDC,SPO,2.010,$,Easter         ,45000,,,Easter,Religion/Churches,,
BOP,19880331.02,FDC,SLK,88.01,$$$,SILK Easter         ,,,,Easter,Religion/Churches,,
BOP,19880623.01,FDC,SPO,2.011,$,National Parks Board       ,42000,,,Wildlife,Agriculture/Farming,,
BOP,19880623.02,FDC,FOU,03,$$,MS National Parks     ,,,,Wildlife,Agriculture/Farming,,
BOP,19880910.01,FDC,SPO,2.012,$,Agricultural Crops        ,42000,,,Agriculture/Farming,,,
BOP,19880910.02,FDC,SLK,88.04,$$$,SILK Agricultural Crops        ,,,,Agriculture/Farming,,,
BOP,19881117.01,FDC,SPO,2.013,$,Water Conservation        ,42000,,,Water and Sanitation,Bridges/Dams,,
BOP,19881117.02,FDC,SLK,88.05,$$$,SILK Water Conservation        ,,,,Water and Sanitation,Bridges/Dams,,
BOP,19881122.01,FIL,FED,003,$$,MS PMB Stamp Exhibition       ,,,,Stamp Exhibition,,,
BOP,19890304.01,RWY,PRV,,$$$,Sun City Express Train      ,,,,Railway/Trains,Tourism,,
BOP,19890309.01,FDC,SPO,2.014,$,Easter         ,42000,,,Easter,Religion/Churches,,
BOP,19890309.02,FDC,SLK,89.01,$$$,SILK Easter         ,,,,Easter,Religion/Churches,,
BOP,19890511.01,FDC,SPO,2.015,$,Childrens Art        ,42000,,,Child Paintings,,,
BOP,19890511.02,FDC,SLK,89.03,$$$,SILK Childrens Art        ,,,,Child Paintings,,,
BOP,19890703.01,FDC,SPO,2.015.1,$,Cutlery Manufacturing        ,37000,,,Manufacturing/Industries,,,
BOP,19890901.01,FDC,SPO,2.016,$$,Birds of Prey (wrong number on cover 2.015)  ,42000,,,Birds/Bats,,,
BOP,19890901.02,FDC,FOU,04,$$$,MS Birds       ,,,,Birds/Bats,,,
BOP,19890901.03,FDC,SLK,89.04,$$$,SILK Birds of Prey       ,,,,Birds/Bats,,,
BOP,19890906.01,FIL,FED,004,$$,MS Wanderers Stamp Exhibition,,,,Stamp Exhibition,Sport,Cricket,
BOP,19891128.01,FDC,SPO,2.017,$,Tradisional Houses        ,38000,,,Arts/Culture/Traditions,,,
BOP,19891128.02,FDC,SLK,89.06,$$$,SILK Tradisional Houses        ,,,,Arts/Culture/Traditions,,,
BOP,19900111.01,FDC,SPO,2.018,$,Community Services        ,38000,,,Community Services,Education,Health/Medicine,Child
BOP,19900111.02,FDC,SLK,90.01,$$$,SILK Community Services        ,,,,Community Services,Education,Health/Medicine,Child
BOP,19900411.01,FDC,SPO,2.019,$$,Small Mammels        ,38000,,,Wildlife,,,
BOP,19900411.02,FDC,FOU,05,$$$,MS Mammels       ,,,,Wildlife,,,
BOP,19900609.01,CMC,PRV,,$$,National Stamp Day,,,,Stamp Day,,,
BOP,19900712.01,FDC,SPO,2.020,$$$,Sandgrouse         ,38000,,,Birds/Bats,,,
BOP,19900712.02,FDC,SLK,90.04,$$$,SILK Sandgrouse         ,,,,Birds/Bats,,,
BOP,19900801.01,FIL,FED,005,$$,MS Stamps 150 Years Stamp Exhibition,,,,Stamp Exhibition,,,
BOP,19900803.01,FDC,SPO,2.020.1,$$,Bus Manufacture        ,33000,,,Manufacturing/Industries,Transport,Cars,
BOP,19901004.01,FDC,SPO,2.021,$,Traditional Crafts        ,35000,,,Arts/Culture/Traditions,,,
BOP,19901004.02,FDC,SLK,90.06,$$$,SILK Traditional Crafts        ,,,,Arts/Culture/Traditions,,,
BOP,19901212.01,FDC,SPO,2.021.1,$$$,Bop Air Force       ,30000,,,Flight and Aircraft,Military,,
BOP,19910124.01,FDC,SPO,2.022,$$$,Wild Fruit        ,31000,,,Flora/Flowers,Food and Drink,,
BOP,19910124.02,FDC,SLK,91.01,$$$,SILK Wild Fruit        ,,,,Flora/Flowers,Food and Drink,,
BOP,19910312.01,FDC,SPO,2.023,$$$,Easter         ,31000,,,Easter,Religion/Churches,,
BOP,19910312.02,FDC,SLK,91.02,$$$,SILK Easter (600 issued)       ,,,,Easter,Religion/Churches,,
BOP,19910704.01,FDC,SPO,2.024,$$$,Trains         ,31000,,,Railway/Trains,Transport,,
BOP,19910704.02,FDC,FOU,06,$$$,MS Trains       ,,,,Railway/Trains,Transport,,
BOP,19910912.01,FDC,SPO,2.025,$$$,Old Maps of Africa      ,28000,,,Maps,,,
BOP,19910912.02,FDC,SLK,91.05,$$$,SILK Old Maps of Africa      ,,,,Maps,,,
BOP,19911009.01,FIL,FED,006,$$,MS CPT Stamp Exhibition,,,,Stamp Exhibition,Railway/Trains,,
BOP,19920109.01,FDC,SPO,2.026,$$$,Old Maps        ,28000,,,Maps,,,
BOP,19920401.01,FDC,SPO,2.027,$$$,Easter         ,28000,,,Easter,Religion/Churches,,
BOP,19920618.01,FDC,SPO,2.028,$$$,Acacia Trees        ,25000,,,Forestry/Trees,,,
BOP,19920618.02,FDC,FOU,07,$$$,MS Trees      ,,,,Stamp Exhibition,Forestry/Trees,,
BOP,19921119.01,FDC,SPO,2.029,$$,Lost City at Sun City     ,25000,,,Tourism,,,
BOP,19930212.01,FDC,SPO,2.030,$$$,Chicken Breeds        ,21000,,,Agriculture/Farming,,,
BOP,19930305.01,FDC,SPO,2.031,$$$,Easter         ,21000,,,Easter,Religion/Churches,,
BOP,19930618.01,FDC,SPO,2.032,$$$,Trains         ,20000,,,Railway/Trains,Transport,,
BOP,19930618.02,FDC,SPO,S01,$$$,MS Trains        ,18000,,,Railway/Trains,Transport,,
BOP,19930820.01,FDC,SPO,2.033,$$$,Old Maps        ,20000,,,Maps,,,
BOP,19940325.01,FDC,SPO,2.034,$$$,Easter         ,20000,,,Easter,Religion/Churches,,
CIS,19811204.01,FDC,SPO,1.001,$,Independance         ,105000,,,Government and Politics,Flags,Heraldry/Coat of Arms,
CIS,19811204.03,FDC,PRV,,$$$,Independance         ,,,,Government and Politics,Flags,Heraldry/Coat of Arms,
CIS,19811215.01,FDC,SPO,1.001.1,$$,Birds Folder 1st Def Issue,90000,,,Birds/Bats,Definitive Series,,
CIS,19820430.01,FDC,SPO,1.002,$,Cecilia Makiwane Nursing       ,100000,,,Health/Medicine,Nursing,,
CIS,19820820.01,FDC,SPO,1.003,$,Pineapple Industry        ,125000,,,Agriculture/Farming,Manufacturing/Industries,,
CIS,19820820.02,FDC,SLK,82.01,$$$,SILK Pineapple Industry        ,,,,Agriculture/Farming,Manufacturing/Industries,,
CIS,19820820.03,FDC,PRC,03,$$$,Pineapple Industry        ,,,,Agriculture/Farming,Manufacturing/Industries,,
CIS,19821029.01,FDC,PRC,04,$$$,Small Mammals,400,,,Wildlife,,,
CIS,19821029.03,FDC,SPO,1.004,$,Small Mammels        ,125000,,,Wildlife,,,
CIS,19821029.02,FDC,SLK,82.02,$$$,SILK Small Mammels        ,,,,Wildlife,,,
CIS,19830202.01,FDC,SPO,1.005,$,Trees         ,100000,,,Forestry/Trees,,,
CIS,19830202.02,FDC,SLK,83.01,$$$,SILK Trees (600),,,,Forestry/Trees,,,
CIS,19830413.01,FDC,SPO,1.006,$,Sharks         ,100000,,,Whales/Dolphins/Sharks,,,
CIS,19830413.02,FDC,SLK,83.02,$$$,SILK Sharks         ,,,,Whales/Dolphins/Sharks,,,
CIS,19830706.01,FDC,SPO,1.007,$,Educational Institutions        ,100000,,,Education,Architecture,,
CIS,19830706.02,FDC,SLK,83.03,$$$,SILK Educational Institutions        ,,,,Education,Architecture,,
CIS,19830706.03,FDC,PRC,07,$$$,Education,400,,,Education,,,
CIS,19830928.02,FDC,SPO,1.008,$,Military uniforms        ,90000,,,Military,Uniforms/Costumes,,
CIS,19830928.03,FDC,SLK,83.04,$$$,SILK Battle of Isandhlwana (600),,,,Military,Uniforms/Costumes,,
CIS,19840106.01,FDC,SPO,1.009,$,Trees         ,80000,,,Forestry/Trees,,,
CIS,19840106.02,FDC,SLK,84.01,$$$,SILK Trees  (650),,,,Forestry/Trees,,,
CIS,19840106.03,FDC,PRC,09,$$$,Trees,400,,,Forestry/Trees,,,
CIS,19840402.01,FDC,SPO,,$,Maximum Card Birds       ,75000,,,Birds/Bats,,,
CIS,19840402.02,FDC,SLK,84.01,$$$,SILK Birds         ,,,,Birds/Bats,,,
CIS,19840402.03,FDC,PRV,,$$,Add Def value 11c,,,,Definitive Series,,,
CIS,19840412.01,FDC,SPO,1.010,$,Fishbait         ,85000,,,Fishing/Angling,Sport,,
CIS,19840412.02,FDC,SLK,84.02,$$$,SILK Fishbait         ,,,,Fishing/Angling,Sport,,
CIS,19840412.03,FDC,PRV,10,$$$,Fishbait – Handcancelled,,,,Fishing/Angling,Sport,,
CIS,19840817.01,FDC,SPO,1.011,$,Migratory Birds        ,78000,,,Birds/Bats,,,
CIS,19840817.02,FDC,SLK,84.03,$$$,SILK Migratory Birds        ,,,,Birds/Bats,,,
CIS,19840817.03,FDC,PRC,11,$$$,Birds/Bats,400,,,Birds/Bats,,,
CIS,19841026.01,FDC,SPO,1.012,$,Military Uniforms        ,80000,,,Military,Uniforms/Costumes,,
CIS,19841026.02,FDC,SLK,84.04,$$$,SILK Military Uniforms        ,,,,Military,Uniforms/Costumes,,
CIS,19850307.01,FDC,SPO,1.013,$,Fish         ,70000,,,Fishing/Angling,Sport,,
CIS,19850307.02,FDC,GLD,85.06,$$$$,GOLD Fish         ,,,,Fishing/Angling,Sport,,
CIS,19850307.03,FDC,SLK,85.01,$$$,SILK Fish         ,,,,Fishing/Angling,Sport,,
CIS,19850307.04,FDC,PRC,13,$$$,Fish,400,,,Fishing/Angling,Sport,,
CIS,19850401.01,FDC,SPO,1.013.1,$,Birds         ,63000,,,Birds/Bats,,,
CIS,19850401.02,FDC,SLK,85.02,$$$,SILK Birds         ,,,,Birds/Bats,,,
CIS,19850401.03,FDC,PRV,,$$$,Birds/Bats,,,,Birds/Bats,,,
CIS,19850503.01,FDC,SPO,1.014,$,Girl Guides,70000,,,Boy Scouts/Girl Guides,,,
CIS,19850503.02,FDC,GLD,85.12,$$$$,GOLD Girl Guide        ,,,,Boy Scouts/Girl Guides,,,
CIS,19850503.03,FDC,SLK,85.03,$$$,SILK Girl Guide        ,,,,Boy Scouts/Girl Guides,,,
CIS,19850503.04,FDC,PRC,14,$$$,Girl Guides,400,,,Boy Scouts/Girl Guides,,,
CIS,19850808.01,FDC,SPO,1.015,$,Small Businesses        ,63000,,,Manufacturing/Industries,,,
CIS,19850808.02,FDC,GLD,85.19,$$$$,GOLD Small Businesses        ,,,,Manufacturing/Industries,,,
CIS,19850808.03,FDC,SLK,85.04,$$$,SILK Small Businesses        ,,,,Manufacturing/Industries,,,
CIS,19851115.01,FDC,SPO,1.016,$,Ships         ,63000,,,Ships/Maritime,,,
CIS,19851115.02,FDC,GLD,85.26,$$$$,GOLD Ships         ,,,,Ships/Maritime,,,
CIS,19851115.03,FDC,SLK,85.05,$$$,SILK Ships         ,,,,Ships/Maritime,,,
CIS,19860320.01,FDC,SPO,1.017,$$$,Halleys Comet        ,50000,,,Astronomy/Space,,,
CIS,19860320.02,FDC,GLD,86.06,$$$$,GOLD Halleys Comet        ,,,,Astronomy/Space,,,
CIS,19860320.03,FDC,SLK,86.01,$$$,SILK Halleys Comet        ,,,,Astronomy/Space,,,
CIS,19860401.01,FDC,SPO,1.017.1,$,Birds         ,50000,,,Birds/Bats,,,
CIS,19860401.02,FDC,SLK,86.02,$$$,SILK Birds         ,,,,Birds/Bats,,,
CIS,19860522.01,CMC,PRV,,$,Ameripex 86 Stamp Exhibition,,,,Stamp Exhibition,,,
CIS,19860612.01,FDC,SPO,1.018,$,British Military Uniforms       ,53000,,,Military,Uniforms/Costumes,,
CIS,19860612.03,FDC,FOU,01,$$,MS Uniforms        ,,,,Military,Uniforms/Costumes,,
CIS,19860612.04,FDC,GLD,86.13,$$$$,GOLD British Military Uniforms       ,,,,Military,Uniforms/Costumes,,
CIS,19860612.05,FDC,GLD,86.13S,$$$$,GOLD British Military Uniforms       ,,,,Military,Uniforms/Costumes,,
CIS,19860612.06,FDC,SLK,86.03,$$$,SILK British Military Uniforms       ,,,,Military,Uniforms/Costumes,,
CIS,19860612.07,FDC,SLK,86.04,$$$,SILK MS British Military Uniforms      ,,,,Military,Uniforms/Costumes,,
CIS,19860612.08,FDC,PRC,18,$$$,Military Uniforms,400,,,Military,,,
CIS,19860918.01,FDC,SPO,1.019,$,Bicycle Production        ,50000,,,Manufacturing/Industries,,,
CIS,19860918.02,FDC,GLD,86.20,$$$$,GOLD Bicycle Production        ,150,,,Manufacturing/Industries,,,
CIS,19860918.03,FDC,SLK,86.05,$$$,SILK Bicycle Production        ,,,,Manufacturing/Industries,,,
CIS,19860918.04,FDC,PRC,19,$$$,Bicycle Manufacturing,400,,,Manufacturing/Industries,,,
CIS,19861010.02,FIL,SPO,,$$,JHB 100 MS Uniforms        ,,,,Military,Uniforms/Costumes,Stamp Exhibition,
CIS,19861204.01,FDC,SPO,1.020,$,5th Independance        ,50000,,,Government and Politics,,,
CIS,19861204.02,FDC,SLK,86.06,$$$,SILK 5th Independance        ,,,,Government and Politics,,,
CIS,19861204.03,FDC,GLD,86.26,$$$$,GOLD 5th Independance        ,150,,,Government and Politics,,,
CIS,19861204.04,FDC,PRC,20,$$$,Independance,400,,,Government and Politics,,,
CIS,19870319.01,FDC,SPO,1.021,$,Mushrooms         ,50000,,,Mushrooms/Fungi,,,
CIS,19870319.02,FDC,FOU,02,$$,MS Mushrooms        ,,,,Mushrooms/Fungi,,,
CIS,19870319.03,FDC,SLK,87.02,$$$,SILK MS Mushrooms        ,,,,Mushrooms/Fungi,,,
CIS,19870319.04,FDC,SLK,87.01,$$$,SILK Mushrooms         ,,,,Mushrooms/Fungi,,,
CIS,19870319.05,FDC,GLD,87.09,$$$$,GOLD MS Mushrooms        ,150,,,Mushrooms/Fungi,,,
CIS,19870319.06,FDC,GLD,87.08,$$$$,GOLD Mushrooms         ,150,,,Mushrooms/Fungi,,,
CIS,19870319.07,FDC,PRC,21,$$$,Mushrooms,400,,,Mushrooms/Fungi,,,
CIS,19870401.01,FDC,SPO,1.021.1,$,Birds         ,50000,,,Birds/Bats,,,
CIS,19870401.02,FDC,SLK,87.02A,$$$,SILK Birds         ,,,,Birds/Bats,,,
CIS,19870618.01,FDC,SPO,1.022,$,Nkone Cattle        ,50000,,,Agriculture/Farming,,,
CIS,19870618.02,FDC,SLK,87.03,$$$,SILK Nkone Cattle        ,,,,Agriculture/Farming,,,
CIS,19870618.03,FDC,PRC,22,$$$,Nkone Cattle Handcanclled,,,,Agriculture/Farming,,,
CIS,19870916.01,FIL,SPO,,$$,MS Paarl 300 Mushrooms      ,,,,Mushrooms/Fungi,Stamp Exhibition,,
CIS,19870917.01,FDC,SPO,1.023,$,Homemade Toys        ,50000,,,Arts/Culture/Traditions,,,
CIS,19871106.01,FDC,SPO,1.024,$,Folklore         ,50000,,,Arts/Culture/Traditions,,,
CIS,19871106.02,FDC,SLK,87.05,$$$,SILK Folklore         ,,,,Arts/Culture/Traditions,,,
CIS,19880317.01,FDC,SPO,1.025,$,Flowers         ,45000,,,Flora/Flowers,,,
CIS,19880317.02,FDC,FOU,03,$$$,MS Flowers        ,,,,Flora/Flowers,Stamp Exhibition,,
