Area,Date,Type,Issued By,No,Value,Description,# Issued,Atlas,Alberta,Theme A,Theme B,Theme C,Theme D
RSA,19910720.04,RWY,SATS,3.04,25.00,Brush with Steam Safari 19 Class Sabie DS,500,,236,Railway/Trains,,,
RSA,19910720.05,RWY,SATS,3.05,25.00,Brush with Steam Safari GF Class Graskop DS,500,,237,Railway/Trains,,,
RSA,19910720.06,RWY,SATS,3.06,25.00,Brush with Steam Safari 19D Class Waterval Boven DS,500,,238,Railway/Trains,,,
RSA,19910720.07,RWY,SATS,3.07,25.00,Brush with Steam Safari 26 Class Vryburg DS,500,,239,Railway/Trains,,,
RSA,19910720.08,RWY,SATS,3.08,25.00,Brush with Steam Safari 25NC Class Kimberley DS,500,,240,Railway/Trains,,,
RSA,19910720.09,RWY,SATS,3.09,25.00,Brush with Steam Safari 25 Class Heuningkloof DS,500,,241,Railway/Trains,,,
RSA,19910720.10,RWY,SATS,3.10,25.00,Brush with Steam Safari 16E Class Belmont DS,500,,242,Railway/Trains,,,
RSA,19910720.11,RWY,SATS,3.11,25.00,Brush with Steam Safari 15F Class JHB DS,500,,243,Railway/Trains,,,
RSA,19920208.01,RWY,SATS,,25.00,100 Years Railway Line Rosmead Stormberg,20,,245,Railway/Trains,,,
RSA,19920218.01,RWY,P,,35.00,100 Years 7 Class Locomotive,90,,246,Railway/Trains,,,
RSA,19920409.01,RWY,P,,25.00,102nd Year Death of Jack the Signalman,40,,248,Railway/Trains,,,
RSA,19920507.01,RWY,SATS,,25.00,100 Years Railway Line Kroonstad Vaal River,20,,249,Railway/Trains,,,
RSA,19920521.03,RWY,SAPO,,$,New Date Stamp Transnet Museum,,662,250,Railway/Trains,,,
RSA,19920521.04,RWY,SAPO,,$,New Date Stamp Transnet Museum,,662,250,Railway/Trains,,,
RSA,19920521.01,RWY,SAPO,,$$,Transnet Museum Vaal River Bridge and Vereeniging   ,5000,662,251,Railway/Trains,,,
RSA,19920521.02,RWY,SATS,,25.00,100 Years Railway Line Bethulie Bridge Springfontein Dreunberg,20,,252,Railway/Trains,,,
RSA,19920620.02,RWY,SATS,,25.00,100 Years Railways reaches Nelspruit,30,,253,Railway/Trains,,,
RSA,19920620.03,RWY,SATS,,25.00,100 Years Railway Line Nelspruit Mocambique,20,,253,Railway/Trains,,,
RSA,19920713.01,RWY,SATS,,25.00,100 Years Railway Line Ladysmith Harrismith,20,,254,Railway/Trains,,,
RSA,19920915.01,RWY,SATS,,25.00,100 Years First train CPT JHB,30,,258,Railway/Trains,,,
RSA,19921008.04,RWY,P,,,Pres Kruger Initiator of NZASM Railway Line,30,674,259,Railway/Trains,,,
RSA,19930128.01,FDC,SAPO,5.022,$$,Harbours         ,42000,680,262,Ships/Maritime,,,
RSA,19930128.02,FDC,SAPO,S19,$$$,Miniature Sheet Harbours,25000,680,262,Ships/Maritime,,,
RSA,19931112.01,FDC,SAPO,6.002,$$$,Tourism         ,42000,702,265,Tourism,,,
RSA,19931209.01,RWY,P,,,100 Years 6 Class Locomotive,,,266,Railway/Trains,,,
RSA,19940212.01,RWY,P,,,Closure Railway line PTA Magaliesburg,,,268,Railway/Trains,,,
RSA,19940513.04,RWY,P,,,100 Years Pretoria Eerste Fabrieke Railway Line,,,269,Railway/Trains,,,
RSA,19940620.01,RWY,P,,,100 Years Waterval Boven Waterval Onder Railway Line,,,271,Railway/Trains,,,
RSA,19940710.01,RWY,P,,,100 Years Opening of the Waterval Boven Machadodorp Railway Line,,,272,Railway/Trains,,,
RSA,19940901.01,RWY,P,,,100 Years Eerste Fabrieke Elandsrivier Railway Line,,,273,Railway/Trains,,,
RSA,19941015.01,RWY,P,,,100 Years Elandsrivier Bronkhorstpruit Railway Line,,,275,Railway/Trains,,,
RSA,19941118.01,RWY,P,,,100 Years Oosterlyn Railway line,,,276,Railway/Trains,,,
RSA,19950101.01,RWY,P,,,100 Years Railway line PTA Lorenco Marques,,,277,Railway/Trains,,,
RSA,19950710.01,RWY,P,,,100 Years Opening of the Eastern Railway Line,,,279,Railway/Trains,,,
RSA,19951213.01,RWY,P,,,100 Years Durban Johannesburg Railway Line,,,284,Railway/Trains,,,
RSA,19970801.01,FDC,SAPO,6.050,$$$,Blue Train        ,21000,922,291,Railway/Trains,,,
RSA,19970801.02,FDC,SAPO,6.051,$$$,Blue Train        ,21000,923,292,Railway/Trains,,,
RSA,19970801.03,FDC,SAPO,6.052,$$$,Blue Train        ,21000,924,293,Railway/Trains,,,
RSA,19970801.04,FDC,SAPO,6.053,$$$,Blue Train        ,21000,926,294,Railway/Trains,,,
RSA,19970801.05,FDC,SAPO,6.054,$$$,Blue Train        ,21000,925,295,Railway/Trains,,,
RSA,19990430.01,FDC,SAPO,6.098,$$$,SAPDA train        ,18000,999,299,Railway/Trains,,,
RSA,19761113.01,CMC,KPPS_K,07,$$$,Volksrust Concentration camp Memorial  ,,,41A,Boer War,Monuments,,
BOP,19801206.02,FLT,A,023,$$$,Comair flight Sun City JHB     ,,,,Flight and Aircraft,,,
BOP,19840116.01,FLT,A,059,$$$,Mmabatho Air flight Mafikeng Jan Smuts    ,,,,Flight and Aircraft,,,
BOP,19840117.01,FLT,A,064,$$$,Mmabatho Air flight Pilansberg Mafikeng,,,,Flight and Aircraft,,,
BOP,19840117.02,FLT,A,061,$$$,Mmabatho Air flight Mafikeng Pilansberg     ,,,,Flight and Aircraft,,,
BOP,19840117.03,FLT,A,062,$$$,Mmabatho Air flight Pilansberg Jan Smuts    ,,,,Flight and Aircraft,,,
BOP,19881122.01,FIL,F,003,$$,MS PMB Stamp Exhibition       ,,,,Stamp Exhibition,,,
BOP,19890906.01,FIL,F,004,$$,MS Wanderers Stamp Exhibition,,,,Stamp Exhibition,Sport,Cricket,
BOP,19900801.01,FIL,F,005,$$,MS Stamps 150 Years Stamp Exhibition,,,,Stamp Exhibition,,,
BOP,19911009.01,FIL,F,006,$$,MS CPT Stamp Exhibition,,,,Stamp Exhibition,Railway/Trains,,
BOP,19850125.02,FDC,GOLD,85.02,$$$$,GOLD Health         ,,,,Health/Medicine,Child,,
BOP,19850311.02,FDC,GOLD,85.07,$$$$,GOLD Mafeking         ,,,,Towns/Cities History,,,
BOP,19850402.02,FDC,GOLD,85.10,$$$$,GOLD Easter         ,,,,Easter,Religion/Churches,,
BOP,19850704.02,FDC,GOLD,85.16,$$$$,GOLD Trees         ,,,,Trees,,,
BOP,19851025.02,FDC,GOLD,85.24,$$$$,GOLD Industries         ,,,,Manufacturing/Industries,,,
BOP,19870122.02,FDC,GOLD,87.03,$$$$,GOLD Sports         ,,,,Sport,Tennis,Atletics,Football/Soccer
BOP,19820903.02,FDC,SILK,82.01,$$$,SILK Telephone         ,,,,Telecommunication,,,
BOP,19821206.02,FDC,SILK,82.02,$$$,SILK 5th Anniv Independance       ,,,,Government and Politics,,,
BOP,19830105.02,FDC,SILK,83.01,$$$,SILK Pilansberg         ,,,,Wildlife,,,
BOP,19830330.03,FDC,SILK,83.02,$$$,SILK Easter,,,,Easter,Religion/Churches,,
BOP,19830622.02,FDC,SILK,83.03,$$$,SILK Telephone         ,,,,Telecommunication,,,
BOP,19830914.02,FDC,SILK,83.04,$$$,SILK Birds         ,,,,Birds,,,
BOP,19840120.02,FDC,SILK,84.01,$$$,SILK Grasses         ,,,,Flora/Flowers,Grasses,,
BOP,19840323.02,FDC,SILK,84.03,$$$,SILK Easter,,,,Easter,Religion/Churches,,
BOP,19840402.02,FDC,SILK,84.02,$$$,SILK Platinum         ,,,,Platinum,Mining/Minerals,,
BOP,19840720.02,FDC,SILK,84.03,$$$,SILK Telephone         ,,,,Telecommunication,,,
BOP,19840925.02,FDC,SILK,84.04,$$$,SILK Lizards         ,,,,Lizards,,,
BOP,19850125.03,FDC,SILK,85.01,$$$,SILK Health         ,,,,Health/Medicine,Child,,
BOP,19850311.03,FDC,SILK,85.01,$$$,SILK Mafeking         ,,,,Towns/Cities History,,,
BOP,19850401.02,FDC,SILK,85.02,$$$,SILK Car industry        ,,,,Manufacturing/Industries,Cars,,
BOP,19850402.03,FDC,SILK,85.02,$$$,SILK Easter Easter        ,,,,Easter,Religion/Churches,,
BOP,19850704.03,FDC,SILK,85.04,$$$,SILK Trees         ,,,,Trees,,,
BOP,19860306.02,FDC,SILK,86.01,$$$,SILK Easter         ,,,,Easter,Religion/Churches,,
BOP,19860401.02,FDC,SILK,86.02,$$$,SILK Industries         ,,,,Manufacturing/Industries,,,
BOP,19860515.04,FDC,SILK,86.03,$$$,SILK Thaba Nchu        ,,,,Towns/Cities History,,,
BOP,19860515.05,FDC,SILK,86.04,$$$,SILK Thaba Nchu,,,,Towns/Cities History,,,
BOP,19860806.02,FDC,SILK,86.05,$$$,SILK Temisono Project        ,,,,Manufacturing/Industries,Agriculture/Farming,,
BOP,19861016.02,FDC,SILK,86.06,$$$,SILK BOP Airways        ,,,,Flight and Aircraft,,,
BOP,19870122.03,FDC,SILK,87.01,$$$,SILK Sports,,,,Sport,Tennis,Atletics,Football/Soccer
BOP,19870401.02,FDC,SILK,87.02,$$$,SILK Brickworks         ,,,,Manufacturing/Industries,,,
BOP,19870423.04,FDC,SILK,87.02,$$$,SILK Flowers         ,,,,Flora/Flowers,,,
BOP,19870423.05,FDC,SILK,87.03,$$$,SILK MS Flowers,,,,Flora/Flowers,,,
BOP,19870806.02,FDC,SILK,87.04,$$$,SILK Education         ,,,,Education,,,
BOP,19871204.02,FDC,SILK,87.05,$$$,SILK Communication         ,,,,Telecommunication,,,
BOP,19880331.02,FDC,SILK,88.01,$$$,SILK Easter         ,,,,Easter,Religion/Churches,,
BOP,19880910.02,FDC,SILK,88.04,$$$,SILK Agricultural Crops        ,,,,Agriculture/Farming,,,
BOP,19881117.02,FDC,SILK,88.05,$$$,SILK Water Conservation        ,,,,Water and Sanitation,Dams,,
BOP,19890309.02,FDC,SILK,89.01,$$$,SILK Easter         ,,,,Easter,Religion/Churches,,
BOP,19890511.02,FDC,SILK,89.03,$$$,SILK Childrens Art        ,,,,Child Paintings,,,
BOP,19890901.03,FDC,SILK,89.04,$$$,SILK Birds of Prey       ,,,,Birds,,,
BOP,19891128.02,FDC,SILK,89.06,$$$,SILK Tradisional Houses        ,,,,Arts/Culture/Traditions,,,
BOP,19900111.02,FDC,SILK,90.01,$$$,SILK Community Services        ,,,,Community Services,Education,Health/Medicine,Child
BOP,19900712.02,FDC,SILK,90.04,$$$,SILK Sandgrouse         ,,,,Birds,,,
BOP,19901004.02,FDC,SILK,90.06,$$$,SILK Traditional Crafts        ,,,,Arts/Culture/Traditions,,,
BOP,19910124.02,FDC,SILK,91.01,$$$,SILK Wild Fruit        ,,,,Flora/Flowers,Fruits,,
BOP,19910312.02,FDC,SILK,91.02,$$$,SILK Easter (600 issued)       ,,,,Easter,Religion/Churches,,
BOP,19910912.02,FDC,SILK,91.05,$$$,SILK Old Maps of Africa      ,,,,Maps,,,
BOP,19771206.03,BAL,P,,$$$,Bophuthatswana Independance - flown by Balloon ,,,,Balloon Flights,,,
BOP,19781201.02,FLT,P,,$$,Flight Orville and Wright      ,,,,Flight and Aircraft,,,
BOP,19781201.03,FLT,P,,$$,Flight Orville and Wright      ,,,,Flight and Aircraft,,,
BOP,19800910.02,CMC,P,,$$$,Birds         ,,,,Birds,,,
BOP,19820129.03,CMC,P,,$$$,Boy Scouts (International issue),,,,Boy Scouts,,,
BOP,19820129.04,CMC,P,,$$$,Boy Scouts (International issue),,,,Boy Scouts,,,
